2024/04/02 22:00:00;Fechada
2024/04/02 22:01:00;Aberta
2024/04/02 22:02:00;Fechada2025-06-16 20:08:14;Aberta
2025-06-16 20:08:15;Fechada
2025-06-16 20:08:31;Aberta
2025-06-16 20:08:33;Fechada
2025-06-16 21:29:24;Aberta
2025-06-16 21:29:32;Fechada
2025-06-16 21:30:24;Aberta
2025-06-16 21:30:25;Fechada
2025-06-16 21:30:34;Aberta
2025-06-16 21:30:37;Fechada
2025-06-16 21:30:55;Aberta
2025-06-16 21:31:06;Fechada
2025-06-16 21:31:21;Aberta
2025-06-16 21:31:24;Fechada
2025-06-16 21:34:42;Aberta
2025-06-16 21:34:45;Fechada
2025-06-16 21:35:11;Aberta
2025-06-16 21:36:06;Aberta
2025-06-16 21:36:56;Fechada
2025-06-16 21:37:13;Aberta
2025-06-16 21:39:04;Fechada
2025-06-16 21:39:20;Aberta
2025-06-16 21:39:23;Fechada
2025-06-16 21:39:33;Aberta
2025-06-16 21:39:39;Fechada
2025-06-16 21:48:57;Aberta
2025-06-16 21:49:11;Fechada
2025-06-17 18:50:38;Aberta
2025-06-17 18:52:08;Aberta
2025-06-17 18:53:14;Aberta
2025-06-17 18:59:21;Fechada
2025-06-17 19:00:42;Aberta
2025-06-17 19:00:59;Fechada
